code,cuit,name,votes
2,30528940931,COOP. AGRIC. GANAD. LTDA. DE ACEVEDO,5
3,30529717233,COOP. AGROP. DE ALCORTA LTDA.,1
5,30533553555,SOC.COOP. AGROP. DE ALMAFUERTE LDA,2
7,33526383309,"SOC.COOP. ""UNION POPULAR"" LTDA.",6
9,33533717999,COOP. AGROPEC. DE ARMSTRONG LTDA,1
11,33543617119,COOP. AGROP MIXTA IRIGOYEN LTDA,5
13,30529478964,COOP. LTDA. AGR. GAN.DE SUNCHALES,2
15,30526896110,COOP. AGRIC. GAN. LTDA. DE ASCENSION,4
19,30511567455,PRODUC. RURALES DEL SUD COOP. AGROP,5
29,30533752035,COOP. ARROCERA DE S. SALVADOR LTDA,6
32,30529251331,COOP. AGRIC.MIXTA LTDA. C. GOMEZ,5
36,33525427639,COOP. AGROP. LTDA. DE CARABELAS,1
37,30530711184,COOP. AGRIC. AGR. UNIDOS LTDA,3
38,33530143959,COOP. AGRIC. GAN. LTDA. DE A. ALSINA,2
41,30530583534,COOP. AGROP. DE CARMEN DE ARECO L.,3
46,30581856942,GRAN. Y ELEV. ARG. DE COLON S.C.L.,5
51,33525689099,COOP. AGRICOLA CONESA LTDA.,2
59,30507878365,COOP. DEFENSA DE AGRICULTORES LT,4
64,33503225099,LA EMANCIPACIONS. C. MIXTA LTDA,6
67,30540904061,COOP. AGROPECUARIA DE DOBLAS LTDA,2
69,30530643766,"COOP. AGRIC.DE ""EL ARBOLITO"" LT",1
71,30531205991,COOP. AGROP. UNIFIC. LTDA. DE ELORTONDO,5
75,30533342201,COOP. AGRC. GAN. LDA DE ESPARTILLAR,4
77,30501912405,UNION AGRICOLA DE AVELLANEDA COOP. L,6
82,30527151453,COTAGRO COOP. AGROP. LTDA.,1
86,30526151794,COOP. AGRICOLA DE GRAL.ROJO LTDA,1
87,30526535282,S.C. AGRIC. GANAD. LTDA. G. S. MARTIN,4
97,33522332459,"COOP. AGRIC.""LA VENCEDORA"" LTDA",2
106,30503608975,LIGA AGRICOLA GANADERA COOP. LTDA,1
108,30511534492,COOP. AGROP. UNION DE J.POSSE L.,4
112,30564188804,"COOP. AGROPEC.""LA SEGUNDA"" LTDA",1
116,30534362168,AGRONEXO COOP. AGRIC. GANAD. DE LAR,4
122,30526655709,UNION AGRIC. DE LEONES S.C.LTDA.,5
125,30508378765,COOP. AGROPECUARIA DE LOPEZ LTDA,2
128,30508743528,COOP. RURAL DE GRAL. VIAMONTE LTDA,4
129,30532620917,ATREUCO COOP. AGROP. LTDA.,6
130,30530920697,COOP. AGROP.DE MALABRIGO LTDA.,6
133,30532734912,COOP. AGROP.GRAL.PAZ DE M.JUAREZ LT,1
135,30532347110,COOP. AGRIC. MIXTA DE MARGARITA LTDA,1
137,30507119235,"COOP. AGRIC. LTDA. ""LA UNION"" DE ALFON",1
139,30525418762,COOP. AGRIC. LTDA. M. CASCALLARES,2
142,30508127495,COOP. AGRIC. GAN.DE MORTEROS LTDA.,6
143,30506957970,"COOP. AGROP. ""GRAL NECOCHEA"" LTDA.",1
147,30501838329,COOP. AGRIC. DE OBERA LTDA.,1
149,33525503629,COOP. AGRARIA LTDA.DE OLAVARRIA,5
154,33529300099,COOP. AG. GAND. PATAGONES Y VIEDMA,2
155,30530750597,COOP. AGROP. LTDA. DE MAXIMO PAZ,4
162,30525288826,LA ALIANZA COOP. AGRIC. GANAD.LTDA,3
164,30533440300,"COOP. AGROP. ""POZO DEL MOLLE"" LTDA",1
165,33526349569,COOP. AGRIC. GANAD. LTDA DE PUAN,4
171,30527921992,UNION AGRIC. DE ROMANG COOP. LTDA,4
173,30530985624,COOP. FED. AG. GAN. DE SAN JUSTO LTD,4
177,30530144018,COOP. AGROP. DE S.A. DE ARECO LTDA.,3
185,30528180112,COOP. AGRIC. Y CONS. LTDA. STA. ROSA,2
189,30533418194,"COOP. AGRIC. GAN. LTDA. ""SAN MIGUEL""",1
193,30507964768,COOP. AGR. U Y FZA. S. ISABEL Y TEOD,5
200,33511642219,AGRIC. UNIDOS DE TANCACHA C.LTDA,6
201,30508360645,COOP. AGROPECUARIA DE TANDIL LTDA,3
207,30526111393,COOP. AGRARIA DE T.ARROYOS LTDA.,6
209,30527196422,"COOP. RURAL LTDA. ""ALFA"".",5
210,30534951341,COOP. AGROPEC. DE LA VIOLETA LTDA,4
214,30531155242,COOP. AGROP. DE VENADO TUERTO LTDA,2
217,33504047089,LA AGRICOLA REGIONAL COOP. LTDA,4
222,30527703685,"COOP. AGRIC. ""UNION REGIONAL"" LTDA",1
223,30528829739,COOP. AGRIC. Y GAN. LA TRINIDAD LTDA.,1
229,30532953835,COOP. AGROP G.S. MARTIN C.SUAREZ LT,1
230,30530871319,"COOP. AGRIC. GAN. IND.""S.TORO"" LT.",4
232,30508728510,COOP. GAN. AGRIC. CONS. PORTEÑA LTDA,4
235,33533328119,COOP. LA GAN GRAL RAMIREZ AG CYP,5
236,30508720110,COOP. AGRIC. GAN. TAMB. LDA. DE MONJE,1
242,30513381944,COOP. AGROPECUARIA EL PROGRESO LTDA,3
245,30537699678,COOP. AGRIC. GANAD.DE DUDIGNAC LTD,1
259,30508982190,COOP. AGRIC. GAN. CONS. FREYRE LTDA,2
260,30589844137,COOP. GAN. RIO NEGRO LA PAMPA LDA,6
262,30528844746,COOP. AGRICOLA MIXTA DE M.CARLO L,3
264,30536121001,COOP. AGROP. UNION Y PROGRESO LTDA.,1
281,30531122115,COOP. AGRIC. GANAD. DE MONTE BUEY,1
289,33551779829,COOP. COMERC. Y TRANSF.LTDA.,3
300,30618805065,COOP. LTDA. DE TAM. LA HUMBERTINA,3
301,30531164667,COOP. AG. GANAD. DE VIDELA LTDA.,3
303,30517867264,COOP. AGROP. DE DARREGUEIRA LTDA.,1
304,30501821507,COOP. AGRIC. GAN. LTDA. GDOR CRESPO,3
305,30532166477,COOP. AGROP. E INDUST. DE RAUCH LTDA.,1
306,33509162439,COOP. AGROP. DE GRANJEROS UNIDOS DE,3
321,30526145417,COOP. AGRIC. LUCIENVILLE LTDA.,4
322,30517683554,COOP. AGROP. COLONIAS UNIDAS LTDA,4
350,30534262465,COOP. GANAD. EL PRONUNCIAMIENTO LIMIT,6
408,30507913411,"COOP. AGROP. ""EL PROGRESO"" LTDA.",2
410,30554836166,COOP. SERV. PUB. GRAL. JOSE S. MARTIN,2
412,30534951414,COOP. AGRIC GANAD Y DE CONS GRAL SAN,4
425,30619635554,TAMBEROS UNIDOS COOP. LTDA.,4
429,30534917674,COOP. AGROPEC. GRAL BELGRANO LTD,4
430,30511539990,COOP. AGRIC. GAN.LTDA DE ELENA,4
431,30538998687,COOP. AGROP. ALBA DE GIGENA LTDA,5
433,30532846486,COOP. AGRIC. GAN. SANCTI SPIRITU LTDA,3
435,30531943909,COOP. AGRIC. GAN. DE BERABEVU LT,5
436,30533319315,COOP. AGRIC. DE MONTE MAIZ LTDA.,5
437,30532568567,COOP. AGRIC. GAN. LOS MOLINOS LTDA,4
438,30532930045,AGRIC. GANAD. LTDA DE BERROTARAN,1
439,30532044282,COOP. AGRIC. GAN.DE EL TREBOL LTDA,6
441,30508273181,COOP. AG. GAN. LTDA.G.LEHMANN,3
443,30533615909,COOP. AGROP.EMBAJADOR MARTINI,1
444,30533413524,COOP. AGROP. DE MURPHY LTDA.,5
451,30532811135,COOP. AGR. GANAD.DE SALADILLO LTDA,6
456,30533294606,COOP. AGROPECUARIA DE BIGAND LTDA,1
461,30511458028,COOP. AGROP. DE BOLIVAR LTDA.,4
463,30529377270,COOP. AGRIC. GAN. DE ARROYO CABRAL,5
471,30533721121,COOP. AGROP. DE PUJATO LTDA.,5
476,30536192626,COOP. AGROP. LA FEDERACION LTDA,4
478,30511521498,COOP. AGRIC. GAN. DE JUSTINIANO POS,3
479,30532481100,COOP. AGRIC.GANAD.BOUQUET LTDA,2
480,30536575673,COOP. AGROP. DE PROD. YCONS. SANTA LUCI,5
481,30530977435,COOP. FEDERAL AGRIC. GANAD. M. SUSA,1
482,30529491448,COOP. AGROP. FED. DE ALVAREZ Y PIÑ,2
486,30533324777,AGRIC.GANAD.LOS CONDORES LTDA,2
487,30533950694,COOP. AGROP C CASADO DE CASILDA LIMI,3
488,30533171970,COOP. AGRIC.GAN.LTDA.CDA.DEL UCLE,1
489,30533588421,COOP. AGRIC.GANAD.CARRERAS LTDA,2
490,33503870989,COOP. AGROP.CORONEL BOGADO,3
491,30534251994,COOP. AGRIC. GAN. FED. DE V. CAÑAS,1
492,30501221925,AGRIC.TAMBERA DE JAMES CRAIK LTDA.,6
495,30511904206,COOP. AGRIC.GAND.DE RAUCH LTDA.,2
496,30511479521,AGRIC. GAN. DE TANDIL Y VELA LTDA.,6
498,30503019791,COOP. AGR.GANAD.LA UNION LTDA.BAR,4
499,30532379187,COOP. TAMBERA Y AGRIC. I. ARG. CENTE,2
500,30533573823,COOP. AGR. GA. ESTEBAN PIACENZA DE ALT,4
501,30501383518,ASOCIACION UNION TAMBEROS COOP. LTD,3
505,30533422256,COOP. AGRICOLA GANADERA LEONES LTDA,4
506,30534395678,COOP. AGRIC. GAN. LEON SOLA LTDA.,1
507,30532458834,COOP. AGROPECUARIA DE LA PAZ LTDA,4
508,33532281259,COOP. FED. AG. GAN. DE URDINARRAIN LT,5
509,30526400301,COOP. AGRIC. MIXTA LA PROTECTORA LT,1
510,30533860164,COOP. AGROPECUARIA DE BOMBAL LTDA.,5
516,30508118690,COOP. AGRIC GANAD. B. DE IRIGOYEN LT,5